pair,model,lag,comparison,n_items,estimate,ci_low,ci_high
id_tl,gemma3_12b,0,wrong_exact_minus_language,33,-3.2740127711868174,-5.462509694104103,-1.1325892156668986
id_tl,gemma3_12b,0,wrong_exact_minus_masked,33,-0.9331929341547728,-2.6424166835052536,0.809280795140622
id_tl,gemma3_12b,0,wrong_masked_minus_language,33,-2.3408198370320448,-4.261473538744471,-0.5034098076629708
id_tl,gemma3_12b,2,wrong_exact_minus_language,33,-2.0477383966909573,-3.8293383931494174,-0.3637875305104189
id_tl,gemma3_12b,2,wrong_exact_minus_masked,33,-1.1664565243633909,-2.2272824922894157,-0.08991542897834666
id_tl,gemma3_12b,2,wrong_masked_minus_language,33,-0.8812818723275665,-2.537774999221702,0.6524649121488104
id_tl,gemma3_12b,8,wrong_exact_minus_language,33,-2.8987528052869798,-4.4652933028114745,-1.5323021099303877
id_tl,gemma3_12b,8,wrong_exact_minus_masked,33,-2.3618447717881557,-3.275168735094661,-1.4113401764282283
id_tl,gemma3_12b,8,wrong_masked_minus_language,33,-0.5369080334988239,-1.7524690501308104,0.46259858792360553
id_tl,qwen3_8b,0,wrong_exact_minus_language,33,-0.03550304066051136,-0.40350946260221077,0.313459025368546
id_tl,qwen3_8b,0,wrong_exact_minus_masked,33,-0.024897445331920277,-0.49617705561897973,0.3600463314489884
id_tl,qwen3_8b,0,wrong_masked_minus_language,33,-0.010605595328591087,-0.5098795684901151,0.5082861878655173
id_tl,qwen3_8b,2,wrong_exact_minus_language,33,-0.251881353782885,-0.6725533619071498,0.1305051529046259
id_tl,qwen3_8b,2,wrong_exact_minus_masked,33,-0.09510686180808327,-0.36015425270253965,0.17564120906772035
id_tl,qwen3_8b,2,wrong_masked_minus_language,33,-0.15677449197480173,-0.5039148298176852,0.13592955741015345
id_tl,qwen3_8b,8,wrong_exact_minus_language,33,-0.3194667931758996,-0.7303103681766625,0.058470363689191285
id_tl,qwen3_8b,8,wrong_exact_minus_masked,33,-0.22736033526333896,-0.5021029255606911,0.060437693379141955
id_tl,qwen3_8b,8,wrong_masked_minus_language,33,-0.09210645791256067,-0.40767504446434255,0.2039683789917917
zh_ja,gemma3_12b,0,wrong_exact_minus_language,27,-0.386614051839354,-1.9102875343493737,1.3172476662582657
zh_ja,gemma3_12b,0,wrong_exact_minus_masked,27,1.121097231283784,-0.4181570986199572,2.7527928875448793
zh_ja,gemma3_12b,0,wrong_masked_minus_language,27,-1.5077112831231378,-2.7573005519850455,-0.40445037369526965
zh_ja,gemma3_12b,2,wrong_exact_minus_language,27,-0.3054069125317727,-1.6296874921303244,1.257010345049073
zh_ja,gemma3_12b,2,wrong_exact_minus_masked,27,0.021391401317453495,-1.1330926920205389,1.3834898603724353
zh_ja,gemma3_12b,2,wrong_masked_minus_language,27,-0.3267983138492262,-0.9677894466634219,0.322506521731891
zh_ja,gemma3_12b,8,wrong_exact_minus_language,27,-0.833000706129328,-2.040509062970954,0.48043330888419095
zh_ja,gemma3_12b,8,wrong_exact_minus_masked,27,-0.5822918584432315,-1.6556381935486568,0.7431303363431382
zh_ja,gemma3_12b,8,wrong_masked_minus_language,27,-0.25070884768609647,-0.9248064066697326,0.43363701452811515
zh_ja,qwen3_8b,0,wrong_exact_minus_language,27,-0.9304127163357205,-1.6025081780221728,-0.3039404763115779
zh_ja,qwen3_8b,0,wrong_exact_minus_masked,27,-0.28920055318761756,-0.6131442383483605,0.0002156531369244395
zh_ja,qwen3_8b,0,wrong_masked_minus_language,27,-0.6412121631481029,-1.130393957208704,-0.16753659204200474
zh_ja,qwen3_8b,2,wrong_exact_minus_language,27,-0.8759539127349854,-1.4443101028601328,-0.35729373847996787
zh_ja,qwen3_8b,2,wrong_exact_minus_masked,27,-0.4134107342472783,-0.8047826678664596,-0.04551966985066752
zh_ja,qwen3_8b,2,wrong_masked_minus_language,27,-0.46254317848770704,-0.7916253527005513,-0.12078471250004262
zh_ja,qwen3_8b,8,wrong_exact_minus_language,27,-1.0427072048187256,-1.6149055269029404,-0.4957914440720174
zh_ja,qwen3_8b,8,wrong_exact_minus_masked,27,-0.7389858740347403,-1.1846744502032243,-0.3216924954343734
zh_ja,qwen3_8b,8,wrong_masked_minus_language,27,-0.3037213307839853,-0.6424295690324571,-0.02892376140311934
